Round,Date,Local_Time,GMT_Time,Home_Team,Away_Team
25,"Thursday, 29 January 2026",20:45,19:45,VALENCIA BASKET,MACCABI RAPYD TEL AVIV
25,"Friday, 30 January 2026",19:30,18:30,AS MONACO,VIRTUS BOLOGNA
25,"Friday, 30 January 2026",20:00,19:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,DUBAI BASKETBALL
25,"Friday, 30 January 2026",20:00,19:00,LDLC ASVEL VILLEURBANNE,PANATHINAIKOS AKTOR ATHENS
25,"Friday, 30 January 2026",20:30,19:30,BASKONIA VITORIA-GASTEIZ,ZALGIRIS KAUNAS
,,,,,
26,"Tuesday, 3 February 2026",20:00,16:00,DUBAI BASKETBALL,OLYMPIACOS PIRAEUS
26,"Tuesday, 3 February 2026",20:30,17:30,ANADOLU EFES ISTANBUL,VALENCIA BASKET
26,"Tuesday, 3 February 2026",20:00,18:00,ZALGIRIS KAUNAS,AS MONACO
26,"Tuesday, 3 February 2026",20:00,19:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,HAPOEL IBI TEL AVIV
26,"Tuesday, 3 February 2026",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,REAL MADRID
26,"Tuesday, 3 February 2026",20:30,19:30,EA7 EMPORIO ARMANI MILAN,BASKONIA VITORIA-GASTEIZ
26,"Tuesday, 3 February 2026",20:30,19:30,FC BARCELONA,FENERBAHCE BEKO ISTANBUL
26,"Tuesday, 3 February 2026",20:30,19:30,FC BAYERN MUNICH,PARIS BASKETBALL
26,"Tuesday, 3 February 2026",21:05,20:05,MACCABI RAPYD TEL AVIV,PARTIZAN MOZZART BET BELGRADE
26,"Wednesday, 4 February 2026",20:30,19:30,VIRTUS BOLOGNA,LDLC ASVEL VILLEURBANNE
,,,,,
27,"Thursday, 5 February 2026",20:00,16:00,DUBAI BASKETBALL,REAL MADRID
27,"Thursday, 5 February 2026",21:00,19:00,HAPOEL IBI TEL AVIV,VALENCIA BASKET
27,"Thursday, 5 February 2026",20:30,19:30,FC BAYERN MUNICH,AS MONACO
27,"Thursday, 5 February 2026",20:30,19:30,PARTIZAN MOZZART BET BELGRADE,PANATHINAIKOS AKTOR ATHENS
27,"Thursday, 5 February 2026",20:45,19:45,PARIS BASKETBALL,FENERBAHCE BEKO ISTANBUL
27,"Friday, 6 February 2026",20:30,17:30,ANADOLU EFES ISTANBUL,ZALGIRIS KAUNAS
27,"Friday, 6 February 2026",20:00,19:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,MACCABI RAPYD TEL AVIV
27,"Friday, 6 February 2026",20:00,19:00,LDLC ASVEL VILLEURBANNE,EA7 EMPORIO ARMANI MILAN
27,"Friday, 6 February 2026",21:15,19:15,OLYMPIACOS PIRAEUS,VIRTUS BOLOGNA
27,"Friday, 6 February 2026",20:30,19:30,BASKONIA VITORIA-GASTEIZ,FC BARCELONA
,,,,,
28,"Thursday, 12 February 2026",20:30,17:30,ANADOLU EFES ISTANBUL,VIRTUS BOLOGNA
28,"Thursday, 12 February 2026",20:05,19:05,MACCABI RAPYD TEL AVIV,FC BAYERN MUNICH
28,"Thursday, 12 February 2026",21:15,19:15,OLYMPIACOS PIRAEUS,CRVENA ZVEZDA MERIDIANBET BELGRADE
28,"Thursday, 12 February 2026",20:30,19:30,VALENCIA BASKET,LDLC ASVEL VILLEURBANNE
28,"Thursday, 12 February 2026",20:30,19:30,FC BARCELONA,PARIS BASKETBALL
28,"Friday, 13 February 2026",20:00,18:00,ZALGIRIS KAUNAS,HAPOEL IBI TEL AVIV
28,"Friday, 13 February 2026",19:30,18:30,AS MONACO,BASKONIA VITORIA-GASTEIZ
28,"Friday, 13 February 2026",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,FENERBAHCE BEKO ISTANBUL
28,"Friday, 13 February 2026",20:30,19:30,PARTIZAN MOZZART BET BELGRADE,REAL MADRID
28,"Friday, 13 February 2026",20:30,19:30,EA7 EMPORIO ARMANI MILAN,DUBAI BASKETBALL
,,,,,
29,"Wednesday, 25 February 2026",20:45,17:45,FENERBAHCE BEKO ISTANBUL,PARTIZAN MOZZART BET BELGRADE
29,"Wednesday, 25 February 2026",20:00,18:00,ZALGIRIS KAUNAS,OLYMPIACOS PIRAEUS
29,"Wednesday, 25 February 2026",20:30,19:30,VIRTUS BOLOGNA,FC BARCELONA
29,"Thursday, 26 February 2026",20:00,16:00,DUBAI BASKETBALL,LDLC ASVEL VILLEURBANNE
29,"Thursday, 26 February 2026",20:00,18:00,HAPOEL IBI TEL AVIV,EA7 EMPORIO ARMANI MILAN
29,"Thursday, 26 February 2026",19:30,18:30,AS MONACO,MACCABI RAPYD TEL AVIV
29,"Thursday, 26 February 2026",20:00,19:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,ANADOLU EFES ISTANBUL
29,"Thursday, 26 February 2026",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,PARIS BASKETBALL
29,"Thursday, 26 February 2026",20:30,19:30,BASKONIA VITORIA-GASTEIZ,VALENCIA BASKET
29,"Thursday, 26 February 2026",20:45,19:45,REAL MADRID,FC BAYERN MUNICH
,,,,,
30,"Thursday, 5 March 2026",20:45,17:45,FENERBAHCE BEKO ISTANBUL,AS MONACO
30,"Thursday, 5 March 2026",20:05,19:05,MACCABI RAPYD TEL AVIV,HAPOEL IBI TEL AVIV
30,"Thursday, 5 March 2026",20:30,19:30,EA7 EMPORIO ARMANI MILAN,FC BARCELONA
30,"Thursday, 5 March 2026",20:30,19:30,PARTIZAN MOZZART BET BELGRADE,DUBAI BASKETBALL
30,"Thursday, 5 March 2026",20:30,19:30,VALENCIA BASKET,ZALGIRIS KAUNAS
30,"Thursday, 5 March 2026",20:45,19:45,REAL MADRID,VIRTUS BOLOGNA
30,"Friday, 6 March 2026",20:30,17:30,ANADOLU EFES ISTANBUL,LDLC ASVEL VILLEURBANNE
30,"Friday, 6 March 2026",20:00,19:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,FC BAYERN MUNICH
30,"Friday, 6 March 2026",21:15,19:15,OLYMPIACOS PIRAEUS,PANATHINAIKOS AKTOR ATHENS
30,"Friday, 6 March 2026",20:30,19:30,BASKONIA VITORIA-GASTEIZ,PARIS BASKETBALL
,,,,,
31,"Thursday, 12 March 2026",20:00,16:00,DUBAI BASKETBALL,BASKONIA VITORIA-GASTEIZ
31,"Thursday, 12 March 2026",20:30,18:30,FC BAYERN MUNICH,ANADOLU EFES ISTANBUL
31,"Thursday, 12 March 2026",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,ZALGIRIS KAUNAS
31,"Thursday, 12 March 2026",20:30,19:30,VIRTUS BOLOGNA,PARTIZAN MOZZART BET BELGRADE
31,"Thursday, 12 March 2026",20:45,19:45,PARIS BASKETBALL,LDLC ASVEL VILLEURBANNE
31,"Thursday, 12 March 2026",20:45,19:45,REAL MADRID,VALENCIA BASKET
31,"Friday, 13 March 2026",19:30,18:30,AS MONACO,OLYMPIACOS PIRAEUS
31,"Friday, 13 March 2026",20:00,19:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,FENERBAHCE BEKO ISTANBUL
31,"Friday, 13 March 2026",20:30,19:30,EA7 EMPORIO ARMANI MILAN,MACCABI TEL AVIV
31,"Friday, 13 March 2026",20:30,19:30,FC BARCELONA,HAPOEL IBI TEL AVIV
,,,,,
32,"Thursday, 19 March 2026",20:30,17:30,ANADOLU EFES ISTANBUL,AS MONACO
32,"Thursday, 19 March 2026",20:00,18:00,HAPOEL IBI TEL AVIV,VIRTUS BOLOGNA
32,"Thursday, 19 March 2026",20:30,18:30,FC BAYERN MUNICH,DUBAI BASKETBALL
32,"Thursday, 19 March 2026",21:15,19:15,OLYMPIACOS PIRAEUS,BASKONIA VITORIA-GASTEIZ
32,"Thursday, 19 March 2026",20:30,19:30,VALENCIA BASKET,FC BARCELONA
32,"Thursday, 19 March 2026",20:45,19:45,PARIS BASKETBALL,PARTIZAN MOZZART BET BELGRADE
32,"Friday, 20 March 2026",20:45,17:45,FENERBAHCE BEKO ISTANBUL,EA7 EMPORIO ARMANI MILAN
32,"Friday, 20 March 2026",20:00,18:00,ZALGIRIS KAUNAS,REAL MADRID
32,"Friday, 20 March 2026",20:00,19:00,LDLC ASVEL VILLEURBANNE,MACCABI RAPYD TEL AVIV
32,"Friday, 20 March 2026",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,CRVENA ZVEZDA MERIDIANBET BELGRADE
,,,,,
33,"Tuesday, 24 March 2026",20:00,16:00,DUBAI BASKETBALL,PANATHINAIKOS AKTOR ATHENS
33,"Tuesday, 24 March 2026",19:00,18:00,AS MONACO,EA7 EMPORIO ARMANI MILAN
33,"Tuesday, 24 March 2026",20:00,18:00,ZALGIRIS KAUNAS,FC BAYERN MUNICH
33,"Tuesday, 24 March 2026",20:05,19:05,MACCABI RAPYD TEL AVIV,FENERBAHCE BEKO ISTANBUL
33,"Tuesday, 24 March 2026",20:30,19:30,FC BARCELONA,ANADOLU EFES ISTANBUL
33,"Tuesday, 24 March 2026",20:30,19:30,PARTIZAN MOZZART BET BELGRADE,LDLC ASVEL VILLEURBANNE
33,"Tuesday, 24 March 2026",20:30,19:30,VALENCIA BASKET,OLYMPIACOS PIRAEUS
33,"Tuesday, 24 March 2026",20:45,19:45,REAL MADRID,HAPOEL IBI TEL AVIV
33,"Tuesday, 24 March 2026",20:45,19:45,VIRTUS BOLOGNA,PARIS BASKETBALL
33,"Wednesday, 25 March 2026",20:30,19:30,BASKONIA VITORIA-GASTEIZ,CRVENA ZVEZDA MERIDIANBET BELGRADE
,,,,,
34,"Thursday, 26 March 2026",20:05,19:05,MACCABI RAPYD TEL AVIV,DUBAI BASKETBALL
34,"Thursday, 26 March 2026",20:30,19:30,EA7 EMPORIO ARMANI MILAN,VIRTUS BOLOGNA
34,"Thursday, 26 March 2026",20:30,19:30,FC BAYERN MUNICH,LDLC ASVEL VILLEURBANNE
34,"Thursday, 26 March 2026",20:45,19:45,PARIS BASKETBALL,OLYMPIACOS PIRAEUS
34,"Thursday, 26 March 2026",20:45,19:45,REAL MADRID,ANADOLU EFES ISTANBUL
34,"Friday, 27 March 2026",20:45,17:45,FENERBAHCE BEKO ISTANBUL,ZALGIRIS KAUNAS
34,"Friday, 27 March 2026",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,AS MONACO
34,"Friday, 27 March 2026",20:30,19:30,BASKONIA VITORIA-GASTEIZ,HAPOEL IBI TEL AVIV
34,"Friday, 27 March 2026",20:30,19:30,FC BARCELONA,CRVENA ZVEZDA MERIDIANBET BELGRADE
34,"Friday, 27 March 2026",20:30,19:30,PARTIZAN MOZZART BET BELGRADE,VALENCIA BASKET
,,,,,
35,"Wednesday, 1 April 2026",20:05,18:05,MACCABI RAPYD TEL AVIV,ANADOLU EFES ISTANBUL
35,"Thursday, 2 April 2026",20:00,17:00,HAPOEL IBI TEL AVIV,PANATHINAIKOS AKTOR ATHENS
35,"Thursday, 2 April 2026",20:00,17:00,ZALGIRIS KAUNAS,FC BARCELONA
35,"Thursday, 2 April 2026",20:00,18:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,PARTIZAN MOZZART BET BELGRADE
35,"Thursday, 2 April 2026",20:45,18:45,PARIS BASKETBALL,EA7 EMPORIO ARMANI MILAN
35,"Friday, 3 April 2026",20:00,16:00,DUBAI BASKETBALL,AS MONACO
35,"Friday, 3 April 2026",20:00,18:00,LDLC ASVEL VILLEURBANNE,OLYMPIACOS PIRAEUS
35,"Friday, 3 April 2026",20:30,18:30,BASKONIA VITORIA-GASTEIZ,REAL MADRID
35,"Friday, 3 April 2026",20:30,18:30,FC BAYERN MUNICH,FENERBAHCE BEKO ISTANBUL
35,"Friday, 3 April 2026",20:30,18:30,VIRTUS BOLOGNA,VALENCIA BASKET
,,,,,
36,"Tuesday, 7 April 2026",20:00,17:00,ZALGIRIS KAUNAS,DUBAI BASKETBALL
36,"Tuesday, 7 April 2026",20:00,18:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,PARIS BASKETBALL
36,"Tuesday, 7 April 2026",21:00,18:00,HAPOEL IBI TEL AVIV,FENERBAHCE BEKO ISTANBUL
36,"Tuesday, 7 April 2026",21:15,18:15,OLYMPIACOS PIRAEUS,REAL MADRID
36,"Tuesday, 7 April 2026",20:30,18:30,BASKONIA VITORIA-GASTEIZ,MACCABI RAPYD TEL AVIV
36,"Tuesday, 7 April 2026",20:30,18:30,FC BARCELONA,PANATHINAIKOS AKTOR ATHENS
36,"Tuesday, 7 April 2026",20:30,18:30,VALENCIA BASKET,EA7 EMPORIO ARMANI MILAN
36,"Tuesday, 7 April 2026",20:30,18:30,VIRTUS BOLOGNA,FC BAYERN MUNICH
36,"Wednesday, 8 April 2026",20:30,17:30,ANADOLU EFES ISTANBUL,PARTIZAN MOZZART BET BELGRADE
36,"Wednesday, 8 April 2026",19:30,17:30,AS MONACO,LDLC ASVEL VILLEURBANNE
,,,,,
37,"Thursday, 9 April 2026",20:00,17:00,HAPOEL IBI TEL AVIV,OLYMPIACOS PIRAEUS
37,"Thursday, 9 April 2026",20:45,17:45,FENERBAHCE BEKO ISTANBUL,REAL MADRID
37,"Thursday, 9 April 2026",20:30,18:30,EA7 EMPORIO ARMANI MILAN,FC BAYERN MUNICH
37,"Thursday, 9 April 2026",20:45,18:45,PARIS BASKETBALL,MACCABI RAPYD TEL AVIV
37,"Thursday, 9 April 2026",20:45,18:45,VALENCIA BASKET,PANATHINAIKOS AKTOR ATHENS
37,"Friday, 10 April 2026",20:00,16:00,DUBAI BASKETBALL,ANADOLU EFES ISTANBUL
37,"Friday, 10 April 2026",19:30,17:30,AS MONACO,FC BARCELONA
37,"Friday, 10 April 2026",20:00,18:00,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE
37,"Friday, 10 April 2026",20:30,18:30,PARTIZAN MOZZART BET BELGRADE,ZALGIRIS KAUNAS
37,"Friday, 10 April 2026",20:30,18:30,VIRTUS BOLOGNA,BASKONIA VITORIA-GASTEIZ
,,,,,
38,"Thursday, 16 April 2026",20:00,18:00,LDLC ASVEL VILLEURBANNE,FENERBAHCE BEKO ISTANBUL
38,"Thursday, 16 April 2026",20:05,18:05,MACCABI RAPYD TEL AVIV,VIRTUS BOLOGNA
38,"Thursday, 16 April 2026",21:15,18:15,OLYMPIACOS PIRAEUS,EA7 EMPORIO ARMANI MILAN
38,"Thursday, 16 April 2026",20:30,18:30,PARTIZAN MOZZART BET BELGRADE,BASKONIA VITORIA-GASTEIZ
38,"Thursday, 16 April 2026",20:45,18:45,REAL MADRID,CRVENA ZVEZDA MERIDIANBET BELGRADE
38,"Friday, 17 April 2026",20:00,16:00,DUBAI BASKETBALL,VALENCIA BASKET
38,"Friday, 17 April 2026",20:00,17:00,ZALGIRIS KAUNAS,PARIS BASKETBALL
38,"Friday, 17 April 2026",19:30,17:30,AS MONACO,HAPOEL IBI TEL AVIV
38,"Friday, 17 April 2026",21:15,18:15,PANATHINAIKOS AKTOR ATHENS,ANADOLU EFES ISTANBUL
38,"Friday, 17 April 2026",20:30,18:30,FC BARCELONA,FC BAYERN MUNICH
